id	claim	value	unit	status	provenance	verify
C508	fusion heat as a fraction of beam, at the reachable ceiling	12.0	percent	DERIVED	0.3420 x 0.7188 x 150 x 26.06 MeV / 8 GeV	fn:insitu_heat_pct_at_ceiling
C509	tritium over a 7.5 cm beam at a 400 MeV/c window	6.93	kg	DERIVED	areal density times beam area times T mass fraction	fn:insitu_tritium_kg_400
C510	tritium over a 7.5 cm beam at a 700 MeV/c window	14.5	kg	DERIVED	the same	fn:insitu_tritium_kg_700
C511	tritium to approach the acceptance ceiling	45	kg	DERIVED	a 2 GeV/c window, at which the ceiling is 0.994 of 0.5069	fn:insitu_tritium_kg_2000
C512	in-situ bench cell, areal density	5.00	g/cm^2	DERIVED	one muon range at 111.5 MeV/c	fn:insitu_cell_areal
C513	in-situ bench cell, tritium	2.42	mg	DERIVED	areal density x pi r^2 x T mass fraction, r = 0.16 mm	fn:insitu_cell_tritium_mg
C514	in-situ bench cell, activity	23.2	Ci	DERIVED	C513 decayed; MuFusE holds 2.4 mg at ~24 Ci	fn:insitu_cell_tritium_ci
C515	in-situ bench cell, fraction of the beam intercepted	4.55e-6	fraction	DERIVED	(0.16 mm / 7.5 cm)^2	fn:insitu_interception
C516	in-situ bench cell, binders stopped	1.80e8	s^-1	DERIVED	1 MW at 8 GeV, thick target, through C512-C515	fn:insitu_binders_per_s
C517	in-situ bench cell, 14.1 MeV neutrons	2.70e10	s^-1	DERIVED	C516 x 150 witnessed cycles	fn:insitu_neutrons_per_s
C518	in-situ bench cell, fusion heat	76	mW	DERIVED	C517 x 17.59 MeV	fn:insitu_cell_heat_mw
